method,mutations,KILLED,SURVIVED,TIMED_OUT,NO_COVERAGE,NON_VIABLE,MEMORY_ERROR,RUN_ERROR
Flux::cancelOn,4,0,3,0,1,0,0,0
Flux::concatWith,4,2,0,0,2,0,0,0
Flux::contextWrite,1,1,0,0,0,0,0,0
Flux::delayElements,3,0,0,0,3,0,0,0
Flux::doFinally,7,2,3,0,2,0,0,0
Flux::doOnCancel,4,2,2,0,0,0,0,0
Flux::doOnEach,2,1,1,0,0,0,0,0
Flux::doOnNext,3,1,1,0,1,0,0,0
Flux::doOnSubscribe,1,0,1,0,0,0,0,0
Flux::doOnTerminate,2,0,2,0,0,0,0,0
Flux::filter,18,8,6,0,4,0,0,0
Flux::log,1,1,0,0,0,0,0,0
Flux::onBackpressureDrop,1,0,1,0,0,0,0,0
Flux::publishOn,1,0,1,0,0,0,0,0
Flux::subscribeOn,4,0,3,0,1,0,0,0
Flux::switchIfEmpty,1,0,1,0,0,0,0,0
Mono::cache,10,2,8,0,0,0,0,0
Mono::checkpoint,2,1,0,0,1,0,0,0
Mono::contextWrite,4,1,3,0,0,0,0,0
Mono::defaultIfEmpty,2,1,0,0,1,0,0,0
Mono::delayElement,7,0,7,0,0,0,0,0
Mono::doFinally,4,1,1,0,2,0,0,0
Mono::doOnEach,1,0,1,0,0,0,0,0
Mono::doOnNext,23,12,4,1,6,0,0,0
Mono::doOnSubscribe,6,4,2,0,0,0,0,0
Mono::doOnSuccess,2,2,0,0,0,0,0,0
Mono::doOnTerminate,2,1,1,0,0,0,0,0
Mono::filter,10,4,2,0,4,0,0,0
Mono::log,1,0,1,0,0,0,0,0
Mono::name,4,0,3,0,1,0,0,0
Mono::onErrorStop,1,0,1,0,0,0,0,0
Mono::retry,1,1,0,0,0,0,0,0
Mono::retryWhen,1,0,1,0,0,0,0,0
Mono::subscribe,1,0,0,1,0,0,0,0
Mono::subscribeOn,9,0,9,0,0,0,0,0
Mono::switchIfEmpty,11,6,1,0,4,0,0,0

TOTAL,159,54,70,2,33,0,0,0
