report,mutations,killed,% killed
/vertx-spring-boot-starter-mail/target/pit-reports/index.html,145,40,27.59
/vertx-spring-boot-sample-amqp/target/pit-reports/index.html,18,12,66.67
/vertx-spring-boot-sample-kafka/target/pit-reports/index.html,11,5,45.45
/vertx-spring-boot-sample-websocket/target/pit-reports/index.html,9,3,33.33
/vertx-spring-boot-sample-amqp-tls/target/pit-reports/index.html,15,6,40.0
/vertx-spring-boot-starter-actuator/target/pit-reports/index.html,1,0,0.0
/vertx-spring-boot-starter/target/pit-reports/index.html,58,7,12.07
/vertx-spring-boot-starter-amqp/target/pit-reports/index.html,258,84,32.56
/vertx-spring-boot-starter-http/target/pit-reports/index.html,432,256,59.26
/vertx-spring-boot-starter-http-test/target/pit-reports/index.html,41,22,53.66
/vertx-spring-boot-starter-kafka/target/pit-reports/index.html,302,186,61.59

TOTAL,1290,621,48.14
